Yritys,Kvarttaali,Liikevaihto,Nettotulos,EPS
Elisa,2024Q1,535.0,82.6,0.52
Elisa,2024Q2,541.0,91.4,0.57
Elisa,2024Q3,536.0,100.2,0.63
Elisa,2024Q4,580.0,82.2,0.51
Elisa,2025Q1,555.8,90.0,0.56
Elisa,2025Q2,552.4,90.2,0.56
Elisa,2025Q3,561.0,103.3,0.64
Elisa,2025Q4,588.3,58.6,0.36
Elisa,2026Q1,548.4,91.4,0.57
Elisa,2026Q2,550.8,88.9,0.55
Fortum,2024Q1,2015.0,471.0,0.53
Fortum,2024Q2,1255.0,217.0,0.24
Fortum,2024Q3,1094.0,132.0,0.14
Fortum,2024Q4,1435.0,344.0,0.39
Fortum,2025Q1,1642.0,363.0,0.4
Fortum,2025Q2,974.0,104.0,0.12
Fortum,2025Q3,929.0,52.0,0.06
Fortum,2025Q4,1444.0,246.0,0.27
Fortum,2026Q1,1992.0,421.0,0.47
Fortum,2026Q2,1124.0,109.0,0.12
Hiab,2024Q1,414.5,41.9,0.65
Hiab,2024Q2,432.6,46.2,0.72
Hiab,2024Q3,387.8,39.8,0.62
Hiab,2024Q4,396.4,29.7,0.46
Hiab,2025Q1,411.5,53.6,0.84
Hiab,2025Q2,402.0,49.2,0.76
Hiab,2025Q3,346.0,29.0,0.45
Hiab,2025Q4,396.4,29.7,0.46
Hiab,2026Q1,382.9,29.7,0.46
Hiab,2026Q2,403.3,34.7,0.54
Huhtamäki,2024Q1,1003.9,36.3,0.35
Huhtamäki,2024Q2,1037.5,65.0,0.62
Huhtamäki,2024Q3,1026.2,59.2,0.57
Huhtamäki,2024Q4,1058.7,63.7,0.61
Huhtamäki,2025Q1,1001.6,56.9,0.54
Huhtamäki,2025Q2,1007.5,21.1,0.2
Huhtamäki,2025Q3,970.6,58.4,0.56
Huhtamäki,2025Q4,980.5,55.4,0.53
Huhtamäki,2026Q1,946.8,49.0,0.47
Huhtamäki,2026Q2,1009.0,44.8,0.43
Kemira,2024Q1,763.3,76.0,0.49
Kemira,2024Q2,733.4,62.0,0.4
Kemira,2024Q3,727.6,64.0,0.41
Kemira,2024Q4,723.7,48.0,0.31
Kemira,2025Q1,708.8,58.6,0.38
Kemira,2025Q2,693.4,54.4,0.35
Kemira,2025Q3,687.6,58.1,0.38
Kemira,2025Q4,663.7,10.2,0.07
Kemira,2026Q1,677.3,42.7,0.29
Kemira,2026Q2,693.0,34.0,0.23
Kesko B,2024Q1,2759.5,59.9,0.15
Kesko B,2024Q2,3093.4,103.8,0.26
Kesko B,2024Q3,3026.6,139.7,0.35
Kesko B,2024Q4,3040.6,75.7,0.19
Kesko B,2025Q1,2827.7,48.4,0.12
Kesko B,2025Q2,3188.8,117.1,0.29
Kesko B,2025Q3,3227.3,139.6,0.35
Kesko B,2025Q4,3230.9,99.5,0.25
Kesko B,2026Q1,3029.0,51.3,0.13
Kesko B,2026Q2,3379.1,128.2,0.32
Kone,2024Q1,2568.2,205.9,0.39
Kone,2024Q2,2801.0,263.4,0.5
Kone,2024Q3,2753.6,249.6,0.48
Kone,2024Q4,2975.6,244.5,0.47
Kone,2025Q1,2672.3,212.6,0.41
Kone,2025Q2,2850.1,273.7,0.53
Kone,2025Q3,2762.1,224.4,0.43
Kone,2025Q4,2960.8,269.1,0.52
Kone,2026Q1,2708.3,212.2,0.41
Kone,2026Q2,2937.6,238.0,0.46
Konecranes,2024Q1,913.1,59.3,0.75
Konecranes,2024Q2,1031.5,99.7,1.26
Konecranes,2024Q3,1069.9,101.1,1.27
Konecranes,2024Q4,1212.5,108.3,1.36
Konecranes,2025Q1,983.7,73.5,0.93
Konecranes,2025Q2,1052.4,100.4,0.42
Konecranes,2025Q3,988.7,103.8,1.31
Konecranes,2025Q4,1163.0,122.1,0.513333
Konecranes,2026Q1,907.9,67.2,0.28
Konecranes,2026Q2,1019.5,90.6,0.38
Lumo-Kodit,2024Q1,113.3,31.5,0.13
Lumo-Kodit,2024Q2,112.3,-114.9,-0.47
Lumo-Kodit,2024Q3,113.2,123.8,0.5
Lumo-Kodit,2024Q4,113.6,32.7,0.13
Lumo-Kodit,2025Q1,114.3,-9.0,-0.04
Lumo-Kodit,2025Q2,115.6,-10.4,-0.04
Lumo-Kodit,2025Q3,113.6,26.1,0.11
Lumo-Kodit,2025Q4,111.7,14.0,0.06
Lumo-Kodit,2026Q1,110.8,-16.6,-0.07
Mandatum,2024Q1,0.0,37.7,0.08
Mandatum,2024Q2,0.0,57.9,0.12
Mandatum,2024Q3,0.0,36.5,0.07
Mandatum,2024Q4,0.0,32.9,0.07
Mandatum,2025Q1,0.0,50.4,0.1
Mandatum,2025Q2,0.0,28.4,0.056495
Mandatum,2025Q3,0.0,46.8,0.093098
Mandatum,2025Q4,0.0,30.4,0.06
Mandatum,2026Q1,0.0,-12.4,-0.02
Metso,2024Q1,1217.0,121.0,0.15
Metso,2024Q2,1214.0,128.0,0.16
Metso,2024Q3,1160.0,-78.0,-0.09
Metso,2024Q4,1272.0,158.0,0.19
Metso,2025Q1,1212.0,118.0,0.14
Metso,2025Q2,1257.0,61.0,0.08
Metso,2025Q3,1328.0,138.6,0.17
Metso,2025Q4,1443.0,101.0,0.12
Metso,2026Q1,1252.0,124.0,0.15
Metso,2026Q2,1334.0,128.0,0.15
Neste,2024Q1,5374.0,162.0,0.21
Neste,2024Q2,4642.0,-144.0,-0.19
Neste,2024Q3,4785.0,23.0,0.03
Neste,2024Q4,5568.0,-135.0,-0.18
Neste,2025Q1,5018.0,-40.0,-0.05
Neste,2025Q2,4511.0,-36.0,-0.05
